clave,descripcion
B88,OTRAS INFESTACIONES
B89,ENFERMEDAD PARASITARIA NO ESPECIFICADA
B90,SECUELAS DE TUBERCULOSIS
B91,SECUELAS DE POLIOMIELITIS
B92,SECUELAS DE LEPRA
B94,SECUELAS DE OTRAS INFECCIONES Y ENFERMEDADES PARASITARIAS NO ESPECIFICADAS
B95,ESTREPTOCOCOS Y ESTAFILOCOCOS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPITULOS
B96,OTROS AGENTES BACTERIANOS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPITULOS
B97,AGENTES VIRALES COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPITULOS
B98,OTRAS ENFERMEDADES INFECCIOSAS Y LAS NO ESPECIFICADAS
C00,TUMOR MALIGNO DEL LABIO
C01,TUMOR MALIGNO DE LA BASE DE LA LENGUA
C02,TUMOR MALIGNO DE OTRAS PARTES DE LA LENGUA NO ESPECIFICADA
C03,TUMOR MALIGNO DE LA ENCIA
C04,TUMOR MALIGNO DEL PISO DE LA OCA
C05,TUMOR MALIGNO DEL PALADAR
C06,TUMOR MALIGNO DE OTRAS PARTES DE LA BOCA NO ESPECIFICADAS
C07,TUMOR MALIGNO DE LA GLANDULA PAROTIDA
C08,TUMOR MALIGNO DE OTRAS GLANDULAS SALIVALES MAYORES Y LAS NO  ESPECIFICADAS
C09,TUMOR MALIGNO DE AMIGDALA
C10,TUMOR MALIGNO DE LA OROFARINGE
C11,TUMOR MALIGNO DE LA NASOFARINGE
C12,TUMOR MALIGNO DEL SENO PIRIFORME
C13,TUMOR MALIGNO DE LA HIPOFARINGE
C14,"TUMOR MALIGNO DE OTROS SITIOS Y DE LOS MAL DEFINIDOS DEL LABIO,  CAVIDAD BUCAL Y FARINGE"
C15,TUMOR MALIGNO DEL ESOFAGO
C16,TUMOR MALIGNO DEL ESTOMAGO
C17,TUMOR MALIGNO DEL INTESTINO DELGADO
C18,TUMOR MALIGNO DEL COLON
C19,TUMOR MALIGNO DE LA UNION RECTOSIGMOIDEA
C20,TUMOR MALIGNO DEL RECTO
C21,TUMOR MALIGNO DEL ANO Y DEL CONDUCTO ANAL
C22,TUMOR MALIGNO DEL HIGADO Y VIAS BILIARES INTRAHEPATICAS
C23,TUMOR MALIGNO DE LA VESICULA BILIAR
C24,TUMOR MALIGNO EN OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LAS VIAS BILIARES
C25,TUMOR MALIGNO DEL PANCREAS
C26,TUMOR MALIGNO DE OTROS SITIOS Y DE LOS MAL DEFINIDOS DE LOS ORGANOS DIGESTIVOS
C30,TUMOR MALIGNO DE LAS FOSAS NASALES Y DEL OIDO MEDIO
C31,TUMOR MALIGNO DE LOS SENOS PARANASALES
C32,TUMOR MALIGNO DE LA LARINGE
C33,TUMOR MALIGNO DE LA TRAQUEA
C34,TUMOR MALIGNO DE LOS BRONQUIOS Y DEL PULMON
C37,TUMOR MALIGNO DEL TIMO
C38,"TUMOR MALIGNO DEL CORAZON, MEDIASTINO Y PLEURA"
C39,TUMOR MALIGNO DE OTROS SITIOS NO DEFINIDOS DEL SISTEMA  RESPIRATORIO Y ORGANOS INTRATORACICOS
C40,TUMOR MALIGNO DE LOS HUESOS Y CARTILAGOS ARTICULARES DE LOS  MIEMBROS
C41,TUMOR MALIGNO DE LOS HUESOS Y CARTILAGOS ARTICULARES DE OTROS SITIOS Y DE SITIOS NO ESPECIFICADOS
C43,MELANOMA MALIGNO DE LA PIEL
C44,OTROS TUMORES MALIGNOS DE LA PIEL
C45,MESOTELIOMA
C46,SARCOMA DE KAPOSI
C47,TUMOR MALIGNO DE LOS NERVIOS PERIFERICOS Y SISTEMA  NERVIOSO AUTONOMO
C48,TUMOR MALIGNO DEL PERITONEO Y DEL RETROPERITONEO
C49,TUMOR MALIGNO DE OTROS TEJIDOS CONJUNTIVOS Y DE TEJIDOS BLANDOS
C50,TUMOR MALIGNO DE LA MAMA
C51,TUMOR MALIGNO DE LA VULVA
C52,TUMOR MALIGNO DE LA VAGINA
C53,TUMOR MALIGNO DEL CUELLO DEL UTERO
C54,TUMOR MALIGNO DEL CUERPO DEL UTERO
C55,"TUMOR MALIGNO DEL UTERO, PARTE NO ESPECIFICADA"
C56,TUMOR MALIGNO DEL OVARIO
C57,TUMOR MALIGNO DE OTROS ORGANOS GENITALES FEMENINOS Y DE LOS NO ESPECIFICADOS
C58,TUMOR MALIGNO DE LA PLACENTA
C60,TUMOR MALIGNO DEL PENE
C61,TUMOR MALIGNO DE LA PROSTATA
C62,TUMOR MALIGNO DEL TESTICULO
C63,TUMOR MALIGNO DE OTROS ORGANOS GENITALES MASCULINOS Y DE LOS NO ESPECIFICADOS
C64,"TUMOR MALIGNO DEL RIÑON, EXCEPTO PELVIS RENAL"
C65,TUMOR MALIGNO DE LA PELVIS RENAL
C66,TUMOR MALIGNO DEL URETER
C67,TUMOR MALIGNO DE LA VEJIGA URINARIA
C68,TUMOR MALIGNO DE OTROS ORGANOS URINARIOS Y DE LOS NO ESPECIFICADOS
C69,TUMOR MALIGNO DEL OJO Y SUS ANEXOS
C70,TUMOR MALIGNO DE LAS MENINGES
C71,TUMOR MALIGNO DEL ENCEFALO
C72,"TUMOR MALIGNO DE LA MEDULA ESPINAL, NERVIOS CRANEANOS Y OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL"
C73,TUMOR MALIGNO DE LA GLANDULA TIROIDES
C74,TUMOR MALIGNO DE LA GLANDULA SUPRARENAL
C75,TUMOR MALIGNO DE OTRAS GLANDULAS ENDOCRINAS Y ESTRUCTURAS AFINES
C76,TUMOR MALIGNO DE OTROS SITIOS Y DE SITIOS MAL DEFINIDOS
C77,TUMOR MALIGNO SECUNDARIO Y EL NO ESPECIFICADO DE LOS GANGLIOS LINFATICOS
C78,TUMOR MALIGNO SECUNDARIO DE LOS ORGANOS RESPIRATORIOS Y DIGESTIVOS
C79,TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS
C80,TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS
C81,ENFERMEDAD DE HODGKIN
C82,LINFOMA DE NO-HODGKIN FOLICULAR (NODULAR)
C83,LINFOMA DE NO-HODGKIN DIFUSO
C84,LINFOMA CELULAS T. PERIFERICO Y CUTANEO
C85,LINFOMA DE NO-HODGKIN DE OTRO TIPO Y EL NO ESPECIFICADO
C88,ENFERMEDADES INMUNOPROLIFERATIVAS MALIGNAS
C90,MIELOMA MULTIPLE Y TUMORES MALIGNOS DE CELULAS PLASMATICAS
C91,LEUCEMIA LINFOIDE
C92,LEUCEMIA MIELOIDE
C93,LEUCEMIA MONOCITICA
C94,OTRAS LEUCEMIAS DE TIPO CELULAR ESPECIFICADO
C95,LEUCEMIA DE CELULAS DE TIPO NO ESPECIFICADO
C96,"OTROS TUMORES MALIGNOS Y LOS NO ESPECIFICADOS DEL TEJIDO LINFATICO, HEMATOPOYETICO Y TEJIDOS AFINES"
C97,TUMORES MALIGNOS (PRIMARIOS) DE SITIOS MULTIPLES INDEPENDIENTES
D00,"CARCINOMA IN SITU DE LA CAVIDAD BUCAL, ESOFAGO Y ESTOMAGO"
D01,CARCINOMA IN SITU DE OTROS ORGANOS DIGESTIVOS Y DE LOS NO ESPECIFICADOS
D02,CARCINOMA IN SITU DEL OIDO MEDIO Y APARATO RESPIRATORIO
D03,MELANOMA IN SITU
D04,CARCINOMA IN SITU DE LA PIEL
D05,CARCINOMA IN SITU DE LA MAMA
D06,CARCINOMA IN SITU DEL CUELLO DEL UTERO
D07,CARCINOMA IN SITU DE OTROS ORGANOS GENITALES Y DE LOS NO ESPECIFICADOS
D09,CARCINOMA IN SITU DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS
D10,TUMOR BENIGNO DE LA BOCA Y FARINGE
D11,TUMOR BENIGNO DE LAS GLANDULAS SALIVALES MAYORES
D12,"TUMOR BENIGNO DEL COLON, CONDUCTO ANAL Y ANO"
D13,TUMOR BENIGNO DE OTRAS PARTES Y DE LAS MAL DEFINIDAS DEL SISTEMA DIGESTIVO
D14,TUMOR BENIGNO DEL OIDO MEDIO Y DEL SISTEMA RESPIRATORIO
D15,TUMOR BENIGNO DE OTROS ORGANOS INTRATORACICOS Y DE LOS NO ESPECIFICADOS
D16,TUMOR BENIGNO DEL HUESO Y DEL CARTILAGO ARTICULAR
D17,TUMORES BENIGNOS LIPOMATOSOS
D18,HEMANGIOMA Y LINFAGIOMA DE CUALQUIER SITIO
D19,TUMORES BENIGNOS DEL TEJIDO CONJUNTIVO Y DE LOS TEJIDOS BLANDOS
D20,TUMOR BENIGNO DEL TEJIDO BLANDO DEL PERITONEO Y DEL RETROPERITONEO
D21,OTROS TUMORES BENIGNOS DEL TEJIDO CONJUNTIVO Y DE LOS TEJIDOS BLANDOS
D22,NEVO MELANOCITICO
D23,OTROS TUMORES BENIGNOS DE LA PIEL
D24,TUMOR BENIGNO DE LA MAMA
D25,LEIOMIOMA DEL UTERO
D26,OTRS TUMORES BENIGNOS DEL UTERO
D27,TUMOR BENIGNO DEL OVARIO
D28,TUMOR BENIGNO DE OTROS ORGANOS GENITALES FEMENINOS Y DE LOS NO ESPECIFICADOS
D29,TUMOR BENIGNO DE LOS ORGANOS GENITALES MASCULINOS
D30,TUMOR BENIGNO DE LOS ORGANOS URINARIOS
D31,TUMOR BENIGNO DEL OJO Y SUS ANEXOS
D32,TUMOR BENIGNO DE LAS MENINGES
D33,TUMOR BENIGNO DEL ENCEFALO Y OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL
D34,TUMOR BENIGNO DE LA GLANDULA TIROIDES
D35,TUMOR BENIGNO DE OTRAS GLANDULAS ENDOCRINAS Y DE LAS NO ESPECIFICADAS
D36,TUMOR BENIGNO EN OTROS SITIOS Y DE LOS NO ESPECIFICADOS
D37,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA CAVIDAD BUCAL Y ORGANOS DIGESTIVOS
D38,"TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL OIDO MEDIO, ORGANOS RESPIRATORIOS E INTRATORACICOS"
D39,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LOS ORGANOS GENITALES FEMENINOS
D40,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LOS ORGANOS GENITALES MASCULINOS
D41,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LOS ORGANOS URINARIOS
D42,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LAS MENINGES
D43,TUMOR DE COMPORTAMIENTRO INCIERTO O DESCONOCIDO DEL ENCEFALO Y SISTEMA NERVIOSO CENTRAL
D44,TUMOR DE COMPORTAMIENTRO INCIERTO O DESCONOCIDO DE LAS GLANDULAS ENDOCRINAS
D45,POLICITEMIA VERA
D46,SINDROMES MIELODISPLASICOS
D47,"OTROS TUMORES DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL TEJIDO LINFATICO, ORGANOS HEMATOPOYETICOS Y DE TEJIDOS AFINES"
D48,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS
D50,ANEMIAS POR DEFICIENCIA DE HIERRO
D51,ANEMIA POR DEFICIENCIA DE VITAMINA B12
D52,ANEMIA POR DEFICIENCIA DE FOLATOS
D53,OTRAS ANEMIAS NUTRICIONALES
D55,ANEMIA DEBIDA A TRASTORNOS ENZIMATICOS
D56,TALASEMIA
D57,TRASTORNOS FALCIFORMES
D58,OTRAS ANEMIAS HEMOLITICAS HEREDITARIAS
D59,ANEMIA HEMOLITICA ADQUIRIDA
D60,APLASIA ADQUIRIDA EXCLUSIVA DE LA SERIE ROJA (ERITROBLASTOPENIA)
D61,OTRAS ANEMIAS APLASTICAS
D62,ANEMIA POSTHEMORRAGICA AGUDA
D63,ANEMIA EN ENFERMEDADES CRONICAS CLASIFICADAS EN OTRA PARTE
D64,OTRAS ANEMIAS
D65,COAGULACION INTRAVASCULAR DISEMINADA (SÍNDROME DE DESFIBRINACION)
D66,DEFICIENCIA HEREDITARIA DEL FACTOR VIII
D67,DEFICIENCIA HEREDITARIA DEL FACTOR IX
D68,OTROS DEFECTOS DE LA COAGULACION
D69,PURPURA Y OTRAS CONDICIONES HEMORRAGICAS
D70,AGRANULOCITOSIS
D71,TRASTORNOS FUNCIONALES DE LOS POLIMORFONUCLEARES NEUTROFILOS
D72,OTROS TRASTORNOS DE LOS LEUCOCITOS
D73,ENFERMEDADES DEL BAZO
D74,METAHEMOGLOBINEMIA
D75,OTRAS ENFERMEDADES DE LA SANGRE Y ORGANOS HEMATOPOYETICOS
D76,CIERTAS ENFERMEDADES QUE AFECTAN AL TEJIDO LINFORRETICULAR Y SISTEMA RETICULOENDOTELIAL
D77,OTROS TRASTORNOS DE LA SANGRE Y ORGANOS HEMATOPOYETICOS EN ENFERMEDADES CLASIFICADAS EN CUALQUIER OTRA PARTE
D80,INMUNODEFICIENCIA CON PREDOMINIO DE DEFECTOS DE LOS ANTICUERPOS
D81,INMUNODEFICIENCIAS COMBINADAS
D82,INMUNODEFICIENCIA ASOCIADA CON OTROS DEFECTOS MAYORES
D83,INMUNODEFICIENCIA VARIABLE COMUN
D84,OTRAS INMUNODEFICIENCIAS
D86,SARCOIDOSIS
D89,"OTROS TRASTORNOS QUE AFECTAN EL MECANISMO DE INMUNIDAD, NO CLASIFICADOS EN OTRA PARTE"
E00,SINDROME CONGENITO DE DEFICIENCIA DE YODO
E01,TRASTORNOS TIROIDEOS VINCULADOS A DEFICIENCIAS DE YODO Y AFECCIONES RELACIONADAS
E02,HIPOTIROIDISMO SUBCLINICO POR DEFICIENCIA DE YODO
E03,OTROS HIPOTIROIDISMOS
E04,OTROS BOCIOS NO TOXICOS
E05,TIROTOXICOSIS (HIPERTIROIDISMO)
E06,TIROIDITIS
E07,OTROS TRASTORNOS TIROIDEOS
E10,DIABETES MELLITUS INSULINODEPENDIENTE
E11,DIABETES MELLITUS NO INSULINODEPENDIENTE
E12,DIABETES MELLITUS ASOCIADA CON DESNUTRICION
E13,OTRAS DIABETES MELLITUS ESPECIFICADAS
E14,DIABETES MELLITUS NO ESPECIFICADA
E15,COMA HIPOGLICEMICO NO DIABETICO
E16,OTROS TRASTORNOS DE LA SECRECION INTERNA DEL PANCREAS
E20,HIPOPARATIROIDISMO
E21,HIPERPARATIROIDISMO Y OTROS TRASTORNOS DE LA GLANDULA PARATIROIDES
E22,HIPERFUNCION DE LA GLANDULA HIPOFISIS
E23,HIPOFUNCION Y OTROS TRASTORNOS DE LA GLANDULA HIPOFISIS
E24,SINDROME DE CUSHING
E25,TRASTORNOS ADRENOGENITALES
E26,HIPERALDOSTERONISMO
E27,OTROS TRASTORNOS DE LA GLANDULA SUPRARRENAL
E28,DISFUNCION OVARICA
E29,DISFUNCION TESTICULAR
E30,TRASTORNOS DE LA PUBERTAD NO CLASIFICADOS EN OTRA PARTE
E31,DISFUNCION POLIGLANDULAR
E32,ENFERMEDADES DEL TIMO
E34,OTROS TRASTORNOS ENDOCRINOS
E35,TRASTORNOS ENDOCRINOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
E40,KWASHIORKOR
E41,MARASMO NUTRICIONAL
E42,KWASHIORKOR MARASMATICO
E43,DESNUTRICION PROTEICOCALORICA SEVERA NO ESPECIFICADA
E44,DESNUTRICION PROTEICOCALORICA DE GRADO MODERADO Y LEVE
E45,RETARDO DEL DESARROLLO DEBIDO A DESNUTRICION PROTEICOCALORICA
E46,DESNUTRICION PROTEICOCALORICA NO ESPECIFICADA
E50,DEFICIENCIA DE VITAMINA A
E51,DEFICIENCIA DE TIAMINA
E52,DEFICIENCIA DE NIACINA (PELAGRA)
E53,DEFICIENCIA DE OTRAS VITAMINAS DEL GRUPO B
E54,DEFICIENCIA DE ACIDO ASCORBICO
E55,DEFICIENCIA DE VITAMINA D
E56,OTRAS DEFICIENCIAS DE VITAMINAS
E58,DEFICIENCIA DIETETICA DE CALCIO
E59,DEFICIENCIA DIETETICA DE SELENIO
E60,DEFICIENCIA DIETETICA DE ZINC
E61,DEFICIENCIA DE OTROS ELEMENTOS NUTRICIONALES
E63,OTRAS DEFICIENCIAS NUTRICIONALES
E64,SECUELAS DE LA DESNUTRICION Y DE OTRAS DEFICIENCIAS NUTRICIONALES
E65,ADIPOSIDAD LOCALIZADA
E66,OBESIDAD
E67,OTROS TIPOS DE HIPERALIMENTACION
E68,SECUELAS DE HIPERALIMENTACION
E70,TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS AROMATICOS
E71,TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS DE CADENA RAMIFICADA Y DE LOS ACIDOS GRASOS
E72,OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS
E73,INTOLERANCIA A LA LACTOSA
E74,OTROS TRASTORNOS DEL METABOLISMO DE LOS CARBOHIDRATOS
E75,TRASTORNOS DEL METABOLISMO DE LOS ESFINGOLIPIDOS Y OTROS TRASTORNOS POR ALMACENAMIENTO DE LIPIDOS
E76,TRASTORNOS DEL METABOLISMO DE LOS GLUCOSAMINOGLICANOS
E77,TRASTORNOS DEL METABOLISMO DE LAS GLUCOPROTEINAS
E78,TRASTORNOS DEL METABOLISMO DE LAS LIPOPROTEINAS Y OTRAS LIPIDEMIAS
E79,TRASTORNOS DEL METABOLISMO DE LAS PURINAS Y PIRIMIDINAS
E80,TRASTORNOS DEL METABOLISMO DE LAS PORFIRINAS Y BILIRRUBINA
E83,TRASTORNOS DEL METABOLISMO DE LOS MINERALES
E84,FIBROSIS QUISTICA
E85,AMILOIDOSIS
E86,DEPLECION DE VOLUMEN
E87,"OTROS TRASTORNOS DE LOS LIQUIDOS, ELECTROLITOS Y DEL EQUILIBRIO ACIDO-BASE"
E88,OTROS TRASTORNOS METABOLICOS
E89,TRASTORNOS ENDOCRINOS Y METABOLICOS CONSECUTIVOS A PADECIMIENTOS NO CLASIFICADOS EN OTRA PARTE
E90,TRASTORNOS NUTRICIONALES Y METABOLICOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
F00,DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER
F01,DEMENCIA VASCULAR
F02,DEMENCIA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
F03,DEMENCIA NO ESPECIFICADA
F04,"SINDROME AMNESICO ORGANICO, NO INDUCIDO POR ALCOHOL U OTRAS SUSTANCIAS PSICOACTIVAS"
F05,"DELIRIO, NO INDUCIDO POR ALCOHOL U OTRAS SUSTANCIAS PSICOACTIVAS"
F06,OTROS TRASTORNOS MENTALES DEBIDOS A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA
F07,"TRASTORNOS DE PERSONALIDAD Y CONDUCTA POR DEBIDOS A ENFERMEDAD, LESION O DISFUNCION CEREBRAL"
